model_size,split,utt_id,ground_truth,hypothesis_raw,wer,transcribe_seconds,duration_seconds,reference_word_count
tiny,test-clean,5142-33396-0033,YOU WOULD NOT EAT WITH US YOU CANNOT SAY NO TO HALF OF MY ALE I DRINK THIS TO YOUR HEALTH, You would not eat with us. You cannot say no to half of my ale. I drink this to your health.,0.0,0.1558980941772461,5.28,21
tiny,test-clean,4970-29093-0010,HE HAD NO FRIEND WISE ENOUGH TO TELL HIM TO STEP INTO THE DORKING CONVENTION THEN IN SESSION MAKE A SKETCH OF THE MEN AND WOMEN ON THE PLATFORM AND TAKE IT TO THE EDITOR OF THE DAILY GRAPEVINE AND SEE WHAT HE COULD GET A LINE FOR IT," He had no friend wise enough to tell him to step into the doorking convention, then in session, make a sketch of the men and women on the platform, and take it to the editor of the Daily Grapevine and see what he could get a line for it.",0.02040816326530612,0.24542999267578125,14.3,49
tiny,test-clean,3729-6852-0010,I NEVER HAD ANY FAMILY, I never had any family.,0.0,0.115509033203125,2.755,5
tiny,test-clean,3575-170457-0051,AT TEA TIME THEY WERE SAD AND SILENT AND THE MEAL WENT AWAY UNTOUCHED BY ANY OF THE THREE, At T-time they were sad and silent and the meal went away untouched by any of the three.,0.05263157894736842,0.15020108222961426,4.915,19
tiny,test-clean,5105-28233-0000,LENGTH OF SERVICE FOURTEEN YEARS THREE MONTHS AND FIVE DAYS, length of service 14 years 3 months and 5 days.,0.3,0.12174606323242188,4.51,10
tiny,test-clean,5639-40744-0018,THAT WOULD BE VERY WELL MY CHILD REPLIED HER FATHER IF YOUR PLAN WERE NOT LIABLE TO BE FRUSTRATED BY ORDINARY CUNNING BUT NO DOUBT THIS IMAGE HAS BEEN ALREADY MISSED BY ITS OWNER AND HE WILL HAVE SET IT DOWN FOR CERTAIN THAT IT WAS TAKEN OUT OF THE ROOM BY THE PERSON HE LOCKED UP THERE," That would be very well my child, reply to father. If your plan were not liable to be frustrated by ordinary cunning, but no doubt this image had been already missed by his owner, and he will have set it down for certain that it was taken out of the room by the person he locked up there.",0.06896551724137931,0.29410290718078613,15.414938,58
tiny,test-clean,8555-292519-0009,HO YE SAILS THAT SEEM TO WANDER IN DREAM FILLED MEADOWS SAY IS THE SHORE WHERE I STAND THE ONLY FIELD OF STRUGGLE OR ARE YE HIT AND BATTERED OUT THERE BY WAVES AND WIND GUSTS AS YE TACK OVER A CLASHING SEA OF WATERY ECHOES," Ho, he sails that seem to wander in dream-filled menos. Say, is the shore where I stand the only field of struggle, or are he hit and battered out there by waves and wind gusts as he tack over a clashing sea of watery echoes?",0.08695652173913043,0.2635459899902344,17.965,46
tiny,test-clean,1580-141084-0043,HE PUT HIS SHOES ON THE TABLE, He put his shoes on the table.,0.0,0.1238861083984375,2.065,7
tiny,test-clean,237-134493-0007,ALEXANDRA LETS YOU SLEEP LATE, Out of the Xander that's you sleep late.,1.0,0.12521004676818848,2.035,5
tiny,test-clean,7176-92135-0029,I WANT TO GET AWAY FROM IT ALL SWOONS, I want to get away from it all. Swoon!,0.1111111111111111,0.13240504264831543,2.985,9
tiny,test-clean,1580-141083-0042,MY SCHOLAR HAS BEEN LEFT VERY POOR BUT HE IS HARD WORKING AND INDUSTRIOUS HE WILL DO WELL," My scholar has been left very poor, but he is hardworking and industrious. He will do well.",0.1111111111111111,0.1586289405822754,5.865,18
tiny,test-clean,260-123288-0002,THE ATMOSPHERE IS CHARGED WITH VAPOURS PERVADED WITH THE ELECTRICITY GENERATED BY THE EVAPORATION OF SALINE WATERS," The atmosphere is charged with vapors, provided with the electricity generated by the evaporation of saline waters.",0.11764705882352941,0.16297006607055664,7.25,17
tiny,test-clean,1995-1837-0015,THE SQUARES OF COTTON SHARP EDGED HEAVY WERE JUST ABOUT TO BURST TO BOLLS, The squares of cotton sharp edge heavy were just about to burst to bowls.,0.14285714285714285,0.1365039348602295,4.485,14
tiny,test-clean,237-126133-0004,IF SHE COULD ONLY SEE PHRONSIE FOR JUST ONE MOMENT, If she could only see Franzi for just one moment.,0.1,0.1273040771484375,3.295,10
tiny,test-clean,1580-141083-0019,ABOVE WERE THREE STUDENTS ONE ON EACH STORY, Above were three students one on each story.,0.0,0.11966586112976074,2.705,8
tiny,test-clean,1284-1181-0002,THE HEAD OF THE PATCHWORK GIRL WAS THE MOST CURIOUS PART OF HER, The head of the patchwork girl was the most curious part of her.,0.0,0.1333937644958496,3.835,13
tiny,test-clean,8230-279154-0015,THEY MUST HAVE SOME CHARACTERISTIC WHICH MAKES US REGARD THEM AS REFERRING TO MORE OR LESS REMOTE PORTIONS OF THE PAST," They must have some characteristic, which makes us regard them as referring to more or less remote portions of the past.",0.0,0.1563582420349121,8.05,21
tiny,test-clean,6930-76324-0017,OH LET HIM COME ALONG SHE URGED I DO LOVE TO SEE HIM ABOUT THAT OLD HOUSE," Oh, let him come along, she urged. I do love to see him about that old house.",0.0,0.15263986587524414,5.41,17
tiny,test-clean,672-122797-0000,OUT IN THE WOODS STOOD A NICE LITTLE FIR TREE, Out in the woods to the nice little fir tree.,0.2,0.12322402000427246,4.07,10
tiny,test-clean,672-122797-0059,ONLY THAT ONE ANSWERED THE TREE, only that one and so the tree.,0.3333333333333333,0.11470818519592285,3.52,6
tiny,test-clean,3575-170457-0043,HOWEVER REMEMBERING WHAT YOU TOLD ME NAMELY THAT YOU HAD COMMENDED THE MATTER TO A HIGHER DECISION THAN OURS AND THAT YOU WERE RESOLVED TO SUBMIT WITH RESIGNATION TO THAT DECISION WHATEVER IT MIGHT BE I HOLD IT MY DUTY TO YIELD ALSO AND TO BE SILENT IT MAY BE ALL FOR THE BEST," However, remembering what you told me, namely that you had commended the matter to a higher decision than ours, and that you were resolved to submit with resignation to that decision, whatever it might be. I hold it my duty to yield also and to be silent, and may be all for the best.",0.018518518518518517,0.28095102310180664,19.0,54
tiny,test-clean,1284-1180-0014,OJO HAD NEVER EATEN SUCH A FINE MEAL IN ALL HIS LIFE, Ojo had never eaten such a fine meal in all his life.,0.0,0.13730573654174805,3.665,12
tiny,test-clean,3575-170457-0044,AFTER THIS DISAPPOINTMENT I NEVER DARE RECKON WITH CERTAINTY ON THE ENJOYMENT OF A PLEASURE AGAIN IT SEEMS AS IF SOME FATALITY STOOD BETWEEN YOU AND ME," After this disappointment, I never dare racking with certainty on the enjoyment of a pleasure again. It seems as if some fatality stood between you and me.",0.037037037037037035,0.19385194778442383,9.72,27
tiny,test-clean,61-70968-0058,WILL YOU FORGIVE ME NOW, Will you forgive me now?,0.0,0.1141359806060791,1.82,5
tiny,test-clean,4992-41797-0005,DONE HE AIN'T DONE A THING HE'D OUGHTER SENCE HE WAS BORN," Done, he ain't done a thing he orders since he was born.",0.25,0.1338057518005371,3.845,12
tiny,test-clean,5105-28241-0008,THE EARTH HAS UNDOUBTEDLY ENTERED UPON A NEW ORBIT BUT SHE IS NOT INCURRING ANY PROBABLE RISK OF BEING PRECIPITATED ONTO THE SUN," The Earth has undoubtedly entered upon a new orbit, but she is not incurring any probable risk of being precipitated onto the Sun.",0.0,0.16617083549499512,8.54,23
tiny,test-clean,121-127105-0017,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STAY," It was almost the tone of hope, everybody will stay.",0.0,0.1293778419494629,2.695,10
tiny,test-clean,6829-68769-0052,HE MIGHT HAVE HAD THAT FORGED CHECK FOR THE FACE OF IT IF HE'D BEEN SHARP, He might have had that forged check for the face of it if he'd been sharp.,0.0,0.14177393913269043,4.6,16
tiny,test-clean,61-70968-0038,ROBIN FITZOOTH, Robin Fitzsouth,0.5,0.10491514205932617,2.05,2
tiny,test-clean,1580-141083-0044,I DARE NOT GO SO FAR AS THAT BUT OF THE THREE HE IS PERHAPS THE LEAST UNLIKELY," I dare not go so far as that, but of the three he is perhaps the least unlikely.",0.0,0.1492910385131836,5.505,18
tiny,test-other,7105-2330-0040,THE SEAT WAS LOST AFTER ALL BY A NARROW MAJORITY, This seat was lost after all by a narrow maturity.,0.2,0.125014066696167,3.53,10
tiny,test-other,3528-168669-0063,WHERE INTO THE VAULT, Where? Into the vault.,0.0,0.11286401748657227,2.71,4
tiny,test-other,2414-159411-0013,LET THE TIGER EAT THE MAN FOR MEN HAVE NO PITY, Let the tiger eat the man for men have no pity.,0.0,0.12461519241333008,4.52,11
tiny,test-other,8188-269290-0038,SHE UTTERED HER STRANGE REMARK STANDING UP, She uttered a stream of luck standing up.,0.5714285714285714,0.12235188484191895,2.91,7
tiny,test-other,7975-280084-0014,AS TO THE REST OF THE AFFAIR INSIDE THE BANK I TAKE THE ACCOUNT OF A NORTHFIELD NARRATOR," There's to the rest of the affair inside the bank, I take the account of a Northfield narrator.",0.05555555555555555,0.15266776084899902,5.275,18
tiny,test-other,3528-168669-0030,THREE YEARS AGO MADAME DE BETHUNE A JANSENIST TURNED ORTHODOX MERELY FROM HAVING SEEN MOTHER CRUCIFIXION AT PRAYER AH," Three years ago, Madame DiPassoon, a gen sonnest, turned orthodox, merely from having seen mother crucifixion at prayer. Ah!",0.21052631578947367,0.1876847743988037,8.745,19
tiny,test-other,533-131556-0008,YOU MAY GO MILICENT AND SHE'LL FOLLOW IN A WHILE MILICENT WENT," In my goal, I'll listen until following the while. I'll listen, print.",1.0,0.14683008193969727,5.29,12
tiny,test-other,3528-168669-0043,FATHER FAUVENT THE COMMUNITY HAS BEEN BLESSED IN MOTHER CRUCIFIXION," Fatherful vent, the community has been blessed in mother crucifixion.",0.2,0.13661599159240723,4.16,10
tiny,test-other,2414-128292-0000,WHITHER HATH MY LONESOMENESS GONE SPAKE HE," Wither headms, myotyem gotten to me avor kicked",1.1428571428571428,0.6710240840911865,4.52,7
tiny,test-other,3005-163399-0030,THEN I SAYS TO MYSELF S'POSE TOM SAWYER COMES DOWN ON THAT BOAT," Then I says to myself, Suppose time sore comes down on that boat.",0.23076923076923078,0.13845205307006836,4.62,13
tiny,test-other,8461-258277-0011,KNOWEST THOU WHITHER HE WENT, No was that with a he went.,1.0,0.11986398696899414,2.42,5
tiny,test-other,1998-29455-0039,WHAT'S THAT THERE SAID DICKIE, or step they starts,1.0,0.5479388236999512,2.365,5
tiny,test-other,3005-163389-0010,THE CROWD WASHED BACK SUDDEN AND THEN BROKE ALL APART AND WENT TEARING OFF EVERY WHICH WAY AND BUCK HARKNESS HE HEELED IT AFTER THEM LOOKING TOLERABLE CHEAP," The crowd washed back, stood and then broke all apart. And went tearing off every which way. And bucked heartless he healed it after them, looking tolerable cheap.",0.14285714285714285,0.20125222206115723,12.085,28
tiny,test-other,4852-28312-0003,HEAVY HAND HEWN BEAMS CROSSED IT FROM ONE SIDE TO THE OTHER," Heavy hand, you and beams crossed it from one side to the other.",0.16666666666666666,0.13827109336853027,4.055,12
tiny,test-other,7902-96595-0003,GURR GLANCED ROUND TO SEE IF THE MEN WERE LOOKING AND THEN SAID RATHER HUSKILY BUT KINDLY, Gerglins round to see if the men were looking and then sit rather hesculine mechanically.,0.35294117647058826,0.16153216361999512,4.395,17
tiny,test-other,3080-5040-0002,SHE HAS TOLD NOW ALL THAT WAS TOLD HER BUT VOWS SHE WILL NEVER SAY FROM WHENCE SHE HAD IT WE SHALL SEE WHETHER HER RESOLUTIONS ARE AS UNALTERABLE AS THOSE OF MY LADY TALMASH," She has told now all that was told her, but vows she will never say from when she had it. We shall see where the heresolutions are as unalterable as those of my Lady Talmish.",0.14285714285714285,0.21944499015808105,13.15,35
tiny,test-other,4350-9170-0013,EVEN IF THERE WAS ONCE A TIME WHEN OWING TO THE LOW STANDARD OF MORALS AND THE DISPOSITION OF MEN TO VIOLENCE THE EXISTENCE OF AN AUTHORITY TO RESTRAIN SUCH VIOLENCE WAS AN ADVANTAGE BECAUSE THE VIOLENCE OF GOVERNMENT WAS LESS THAN THE VIOLENCE OF INDIVIDUALS ONE CANNOT BUT SEE THAT THIS ADVANTAGE COULD NOT BE LASTING," Even if there was one to time when, owing to the low standards of morals and the disposition of men to violence, the existence of an authority to restrain such violence was an advantage, because the violence of the government was less in the violence of individuals. And cannot but see that this advantage cannot be lasting.",0.14035087719298245,0.3436431884765625,15.405,57
tiny,test-other,3528-168669-0108,BUT YOU DO NOT UNDERSTAND ANY OF THE PEALS, But you do not understand any of the pills.,0.1111111111111111,0.12361502647399902,2.95,9
tiny,test-other,4294-14317-0003,I IN MY TURN FEEL THE SAME DESIRE AND HOPE TO PLAY MY PART LIKE THEM THEREFORE MY LORD GIVE ME THE LEAVE TO GO," I, in my turn, feel the same desire and hope to play my part like them. Therefore, my Lord, give me the leaves to go.",0.04,0.17873215675354004,7.44,25
tiny,test-other,8188-269290-0015,OH I WON'T LOCK YOU OUT SHE SAID BUT I MUST HAVE THE KEY," Oh, I won't knock you out, she said. But I must have the key.",0.07142857142857142,0.14710116386413574,3.585,14
tiny,test-other,4294-9934-0026,THAT WILL BE SWALLOWING A TONGUE VERY FAST OR A HUNDRED SOUS VERY SLOWLY," That will be swallowing a tongue very fast or a hundred-sue, very slowly.",0.07142857142857142,0.1472330093383789,5.43,14
tiny,test-other,4198-61336-0019,THUS WAS URARTU CRIPPLED AND HUMILIATED IT NEVER REGAINED ITS FORMER PRESTIGE AMONG THE NORTHERN STATES, Thus was heurah to crippled and humiliated. It never regained its form of prestige among the northern states.,0.25,0.1638798713684082,8.21,16
tiny,test-other,7975-280076-0026,I STAYED THERE UNTIL THE EIGHTH OF FEBRUARY EIGHTEEN SEVENTY FOUR, I stayed there until the 8th of February 1874.,0.36363636363636365,0.12708783149719238,3.53,11
tiny,test-other,3997-180297-0016,WE NO LONGER BELONG TO OURSELVES, We no longer belong to ourselves.,0.0,0.11197805404663086,2.525,6
tiny,test-other,6128-63240-0013,SHE WAS ATTRACTIVE AND IMPERTINENT ESPECIALLY THE LATTER," She was attractive and in pertinent, especially the latter.",0.25,0.12541890144348145,4.63,8
tiny,test-other,2414-128291-0024,THOU AMIABLE ONE," Now, stand up one.",1.0,0.5607149600982666,2.245,3
tiny,test-other,7018-75788-0008,WE WEIGHED ANCHOR AND SHAHRAZAD PERCEIVED THE DAWN OF DAY AND CEASED SAYING HER PERMITTED SAY," We wait, anchor, and Shara's arm perceived the dawn of the day, and cease to say in her permitted say.",0.5,0.1633772850036621,8.085,16
tiny,test-other,3997-180294-0022,HERE ARE MY ORDERS TO NIGHT AT THE VAUDEVILLE, Here are my orders tonight at the Vadaville.,0.3333333333333333,0.1263260841369629,4.005,9
tiny,test-other,7018-75788-0009,WHEN IT WAS THE FIVE HUNDRED AND FIFTY NINTH NIGHT, When it was the 559th night.,0.5,0.11893367767333984,3.405,10
tiny,test-other,1998-29455-0006,BUT I SHALL HAVE THEM WHILE THEY'RE ALIVE SAID DICKIE AS HE HAD SAID TO THE PAWNBROKER ABOUT THE MOONFLOWERS," But I shall have them where they are life so diggy, as he has said to the pond broker about the moonflowers.",0.45,0.16984891891479492,6.115,20
tiny,test-other,6070-86744-0003,I CAN SCARCELY CREDIT IT, I am scared to leave credit it.,0.8,0.11848688125610352,2.455,5
tiny,test-other,7902-96591-0018,YES IF OTHER WAYS FAILED HE COULD ESCAPE UP THE CHIMNEY," Yes, if other ways failed he could escape up the chimney.",0.0,0.1288468837738037,3.11,11
tiny,test-other,7975-280076-0027,I HAD NOT HEARD OF THAT WHEN I WROTE THE LETTER OF EIGHTEEN SEVENTY FOUR AND TO CORRECT ANY MISAPPREHENSION THAT MIGHT BE CREATED BY OMITTING IT I WILL SAY THAT AT THAT TIME I WAS AT NEOSHO KANSAS WITH A DROVE OF CATTLE WHICH I SOLD TO MAJOR RAY," I had not heard of that when I wrote the letter of 1874. And to correct any misapprehension that might be created by omitting it, I will say that at the time I was at Niocio Kansas with a drove of cattle, which I sold to Major Ray.",0.1,0.26105809211730957,14.055063,50
tiny,test-other,6432-63722-0014,BUSTED HIS HEAD IN WITH A HEAVY CANDLESTICK ONE OF A PAIR," Buster is head in with a heavy candlestick, one of a pair.",0.16666666666666666,0.1443490982055664,3.84,12
tiny,test-other,5442-32873-0009,THERE DON'T MIND ME SHE SAID SHARPLY AND GETTING UP SHE LOOKED DOWN AT HER DRESS AND THIN SHOES AND SEEMING TO RECOLLECT HERSELF SHE TOOK THE CANDLE HE HAD JUST SET DOWN AND WENT SWIFTLY TO HER ROOM," There, don't mind me, she said sharply, and getting up she looked down at her dress and thin shoes. And seeming to recollect herself, she took the candle here just sat down and went specially to her room.",0.10256410256410256,0.3023519515991211,12.26,39
tiny,test-other,3764-168671-0028,HE HAD HARDLY THE STRENGTH TO STAMMER, We had hardly the strength to stomach.,0.2857142857142857,0.12589812278747559,2.415,7
tiny,test-other,8188-269288-0053,ANNIE DID NOT MEAN TO CONFIDE IN ANYONE THAT NIGHT AND THE KINDEST THING WAS TO LEAVE HER ALONE, and needed not me to confine on anyone that night. And the kindest thing was to leave her alone.,0.2631578947368421,0.15637493133544922,6.065,19
tiny,test-other,3528-168669-0126,AH THE DE EXCLAIMED FAUCHELEVENT," Ahh... Leader! Eh, sorry...",1.0,1.3681740760803223,3.8,5
tiny,test-other,4350-10919-0028,NERVOUS IRRITABILITY HE SAID TO THE PRINCESS WHEN KITTY HAD LEFT THE ROOM HOWEVER I HAD FINISHED," nervous irritability, he said to the princess, when she had left the room. However, I had finished.",0.058823529411764705,0.16639399528503418,5.935,17
tiny,test-other,1688-142285-0008,HIS FATHER DYING IN MISERABLE CIRCUMSTANCES, His father dying in miserable circumstances.,0.0,0.12555789947509766,4.135,6
base,test-clean,1580-141083-0028,THEN HE TOSSED IT DOWN AND SEIZED THE NEXT, Then he tossed it down and seized the next.,0.0,0.21206998825073242,2.585,9
base,test-clean,7021-79730-0004,THE MOTHER AS SOON AS THE CHAISE IS SO FAR TURNED THAT MARY CAN NO LONGER WATCH THE EXPRESSION OF HER COUNTENANCE GOES AWAY FROM THE DOOR WITH A SMILE OF COMPLACENCY AND SATISFACTION UPON HER FACE AT THE INGENUITY AND SUCCESS OF HER LITTLE ARTIFICE," The mother, as soon as the chase is so far turned that Mary can no longer watch the expression of her continents, goes away from the door with a smile of complacency and satisfaction on her face at the ingenuity and success of her little artifice.",0.06521739130434782,0.4230968952178955,17.945,46
base,test-clean,4446-2273-0027,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE, when she finished Alexander shook himself out of a reverie.,0.0,0.22724199295043945,3.76,10
base,test-clean,8230-279154-0001,WHAT IS CALLED PERCEPTION DIFFERS FROM SENSATION BY THE FACT THAT THE SENSATIONAL INGREDIENTS BRING UP HABITUAL ASSOCIATES IMAGES AND EXPECTATIONS OF THEIR USUAL CORRELATES ALL OF WHICH ARE SUBJECTIVELY INDISTINGUISHABLE FROM THE SENSATION," What is called perception differs from sensation by the fact that the sensational ingredients bring up habitual associates, images and expectations of their usual correlates, all of which are subjectively indistinguishable from the sensation.",0.0,0.36132311820983887,17.38,34
base,test-clean,237-134493-0009,PLEASE WAIT FOR ME MARIE EMIL COAXED," Please wait for me Marie, Emil Cokes.",0.14285714285714285,0.21337294578552246,2.975,7
base,test-clean,5142-36377-0005,THE DOOR OPENED AGAIN WHILE I WAS STILL STUDYING THE TWO BROTHERS WITHOUT I HONESTLY CONFESS BEING VERY FAVORABLY IMPRESSED BY EITHER OF THEM," The door opened again while I was still studying the two brothers, without I honestly confess being very favorably impressed by either of them.",0.0,0.2796752452850342,7.085,24
base,test-clean,4446-2273-0034,HE FELT A TREMOR RUN THROUGH THE SLENDER YELLOW FIGURE IN FRONT OF HIM, He felt a tremor run through the slender yellow figure in front of him.,0.0,0.2444591522216797,3.59,14
base,test-clean,4077-13751-0005,NEVERTHELESS THE MUSTARD SEED AMONG THE SMALLEST OF ALL SEEDS HAS ATTAINED THE PROPORTIONS OF A TREE AND THE BIRDS OF THE AIR ARE NESTING IN ITS BRANCHES THE ACORN IS NOW AN OAK OFFERING PROTECTION AND THE SWEETS OF SATISFACTION TO EVERY EARNEST PILGRIM JOURNEYING ITS WAY FOR TRUTH," Nevertheless, the mustard seed, among the smallest of all seeds, has attained the proportions of a tree, and the birds of the air are nesting in its branches. The acorn is now in oak, offering protection, and the suites of satisfaction, to every earnest pilgrim journeying its way for truth.",0.04,0.527479887008667,19.61,50
base,test-clean,7176-88083-0000,ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES, All about him was a tumult of bright and broken color scattered in broad splashes.,0.0,0.2540609836578369,5.695,15
base,test-clean,8463-294828-0035,AND SO IF I'D BEEN DELAYED BY A QUARTER OF AN HOUR OR EVEN LESS THE FRIGATE WOULD HAVE GONE WITHOUT ME AND I WOULD HAVE MISSED OUT ON THIS UNEARTHLY EXTRAORDINARY AND INCONCEIVABLE EXPEDITION WHOSE TRUE STORY MIGHT WELL MEET WITH SOME SKEPTICISM," And so, if I had been delayed by a quarter of an hour or even less, the forget would have gone without me, and I would have messed out on this unearthly, extraordinary and inconceivable expedition, whose true story might well meet with some skepticism.",0.09090909090909091,0.4402649402618408,14.955,44
base,test-clean,5142-33396-0033,YOU WOULD NOT EAT WITH US YOU CANNOT SAY NO TO HALF OF MY ALE I DRINK THIS TO YOUR HEALTH, You would not eat with us. You cannot say no to half of my ale. I'd drink this to your health.,0.047619047619047616,0.2800559997558594,5.28,21
base,test-clean,4970-29093-0010,HE HAD NO FRIEND WISE ENOUGH TO TELL HIM TO STEP INTO THE DORKING CONVENTION THEN IN SESSION MAKE A SKETCH OF THE MEN AND WOMEN ON THE PLATFORM AND TAKE IT TO THE EDITOR OF THE DAILY GRAPEVINE AND SEE WHAT HE COULD GET A LINE FOR IT," He had no friend wise enough to tell him to step into the dorking convention, then in session, make a sketch of the men and women on the platform, and take it to the editor of the Daily Grapevine, and see what he could get a line for it.",0.0,0.46581292152404785,14.3,49
base,test-clean,3729-6852-0010,I NEVER HAD ANY FAMILY, I never had any family.,0.0,0.20829105377197266,2.755,5
base,test-clean,3575-170457-0051,AT TEA TIME THEY WERE SAD AND SILENT AND THE MEAL WENT AWAY UNTOUCHED BY ANY OF THE THREE, At T-time they were sad and silent and the meal went away untouched by any of the three.,0.05263157894736842,0.26150989532470703,4.915,19
base,test-clean,5105-28233-0000,LENGTH OF SERVICE FOURTEEN YEARS THREE MONTHS AND FIVE DAYS, length of service 14 years 3 months and 5 days,0.3,0.2178208827972412,4.51,10
base,test-clean,5639-40744-0018,THAT WOULD BE VERY WELL MY CHILD REPLIED HER FATHER IF YOUR PLAN WERE NOT LIABLE TO BE FRUSTRATED BY ORDINARY CUNNING BUT NO DOUBT THIS IMAGE HAS BEEN ALREADY MISSED BY ITS OWNER AND HE WILL HAVE SET IT DOWN FOR CERTAIN THAT IT WAS TAKEN OUT OF THE ROOM BY THE PERSON HE LOCKED UP THERE," That would be very well, my child, replied her father. If your plan were not liable to be frustrated by ordinary cunning, but no doubt this image had been already missed by its owner, and he will have set it down for certain that it was taken out of the room by the person he locked up there.",0.017241379310344827,0.5256679058074951,15.414938,58
base,test-clean,8555-292519-0009,HO YE SAILS THAT SEEM TO WANDER IN DREAM FILLED MEADOWS SAY IS THE SHORE WHERE I STAND THE ONLY FIELD OF STRUGGLE OR ARE YE HIT AND BATTERED OUT THERE BY WAVES AND WIND GUSTS AS YE TACK OVER A CLASHING SEA OF WATERY ECHOES," Ho, ye sails that seem to wander in dream-filled meadows, say, is this shore where I stand the only field of struggle, or are ye hit and battered out there by waves and wind gusts as he tech over a clashing sea of watery echoes.",0.06521739130434782,0.5960347652435303,17.965,46
base,test-clean,1580-141084-0043,HE PUT HIS SHOES ON THE TABLE, He put his shoes on the table.,0.0,0.20902609825134277,2.065,7
base,test-clean,237-134493-0007,ALEXANDRA LETS YOU SLEEP LATE, Add Xandra that you sleep late.,0.6,0.21681475639343262,2.035,5
base,test-clean,7176-92135-0029,I WANT TO GET AWAY FROM IT ALL SWOONS, I want to get away from it all. Swoon.,0.1111111111111111,0.2338089942932129,2.985,9
